episode,high_tile,steps
1263,512,425
1264,512,466
1265,128,122
1266,1024,677
1267,128,204
1268,256,336
1269,256,340
1270,128,226
1271,512,398
1272,256,325
1273,1024,752
1274,256,363
1275,512,552
1276,512,486
1277,128,156
1278,256,323
1279,512,555
1280,512,409
1281,512,377
1282,512,417
1283,256,292
1284,512,505
1285,512,336
1286,256,347
1287,512,458
1288,256,243
1289,512,424
1290,256,332
1291,512,556
1292,256,277
1293,256,456
1294,128,162
1295,256,363
1296,256,306
1297,1024,668
1298,256,272
1299,512,423
1300,256,287
1301,256,338
1302,512,464
1303,256,280
1304,256,287
1305,256,403
1306,256,228
1307,256,201
1308,256,259
1309,256,236
1310,256,233
1311,256,227
1312,256,256
1313,256,403
1314,1024,953
1315,512,497
1316,512,501
1317,128,174
1318,256,239
1319,512,570
1320,512,478
1321,512,665
1322,256,285
1323,512,504
1324,1024,650
1325,512,441
1326,512,546
1327,512,420
1328,256,284
1329,256,359
1330,256,267
1331,512,454
1332,256,330
1333,1024,646
1334,512,467
1335,256,411
1336,256,251
1337,1024,951
1338,512,391
1339,256,274
1340,256,327
1341,512,421
1342,512,442
1343,128,150
1344,256,296
1345,512,544
1346,1024,800
1347,512,385
1348,256,235
1349,512,510
1350,512,422
1351,256,304
1352,512,563
1353,256,369
1354,256,212
1355,512,506
1356,256,215
1357,1024,755
1358,1024,644
1359,512,499
1360,512,548
1361,512,464
1362,1024,802
1363,256,298
1364,512,412
1365,1024,710
1366,512,336
1367,1024,877
1368,512,531
1369,512,382
1370,512,460
1371,512,478
1372,512,486
1373,512,404
1374,1024,671
1375,512,426
1376,1024,833
1377,128,147
1378,512,563
1379,512,530
1380,512,491
1381,256,361
1382,128,194
1383,512,439
1384,512,483
1385,256,318
1386,1024,738
1387,1024,663
1388,512,507
1389,512,527
1390,512,478
1391,1024,710
1392,256,287
1393,512,403
1394,64,114
1395,512,314
1396,512,462
1397,256,364
1398,256,294
1399,512,652
1400,512,570
1401,512,359
1402,1024,843
1403,512,379
1404,512,486
1405,512,631
1406,1024,885
1407,1024,798
1408,256,283
1409,512,384
1410,512,460
1411,512,566
1412,1024,876
1413,256,290
1414,512,676
1415,1024,609
1416,512,530
1417,256,322
1418,1024,889
1419,512,580
1420,1024,733
1421,512,465
1422,512,457
1423,512,546
1424,256,316
1425,512,512
1426,512,433
1427,512,655
1428,512,587
1429,128,186
1430,1024,989
1431,256,300
1432,1024,732
1433,256,236
1434,512,642
1435,1024,767
1436,1024,815
1437,128,192
1438,1024,627
1439,512,710
1440,64,108
1441,512,491
1442,512,547
1443,512,631
1444,512,661
1445,256,322
1446,512,543
1447,1024,674
1448,1024,996
1449,512,375
1450,512,599
1451,1024,1087
1452,1024,700
1453,512,454
1454,256,300
1455,512,620
1456,256,321
1457,256,196
1458,256,206
1459,1024,630
1460,512,546
1461,1024,771
1462,1024,716
1463,256,275
1464,1024,760
1465,512,576
1466,512,343
1467,512,567
1468,256,353
1469,512,454
1470,512,565
1471,256,268
1472,256,209
1473,256,246
1474,512,488
