episode,moves,score,high_tile
671,492,5764.0,512
672,499,6028.0,512
673,738,9056.0,512
674,431,5116.0,512
675,285,3176.0,256
676,541,6532.0,512
677,322,3656.0,256
678,474,5604.0,512
679,569,6868.0,512
680,837,10348.0,1024
681,510,6112.0,512
682,788,9732.0,1024
683,166,1580.0,128
684,307,3420.0,256
685,460,5432.0,512
686,471,5632.0,512
687,393,4536.0,512
688,349,3988.0,512
689,317,3632.0,256
690,466,5284.0,512
691,555,6680.0,512
692,506,5964.0,512
693,457,5288.0,512
694,187,1888.0,128
695,714,8808.0,512
696,462,5484.0,512
697,385,4492.0,256
698,309,3444.0,256
699,194,1884.0,128
700,547,6456.0,512
701,499,5984.0,512
702,551,6520.0,512
703,561,6744.0,512
704,603,7276.0,512
705,601,7372.0,512
706,523,6272.0,512
707,215,2144.0,128
708,563,6940.0,512
709,471,5492.0,512
710,690,8412.0,512
711,261,3092.0,512
712,578,7080.0,512
713,538,6320.0,512
714,256,2748.0,256
715,868,10620.0,1024
716,820,10060.0,1024
717,556,6728.0,512
718,413,4852.0,512
719,387,4456.0,512
720,590,7196.0,512
721,558,6560.0,512
722,552,6500.0,512
723,270,2888.0,256
724,557,6648.0,512
725,559,6688.0,512
726,306,3416.0,256
727,228,2396.0,256
728,319,3604.0,256
729,370,4320.0,256
730,501,6036.0,512
731,684,8244.0,1024
732,589,6972.0,512
733,477,5792.0,512
734,344,3816.0,256
735,671,8176.0,512
736,492,5700.0,512
737,1015,12532.0,1024
738,329,3796.0,256
739,526,6272.0,512
740,192,2048.0,128
741,400,4628.0,256
742,550,6724.0,512
743,387,4552.0,512
744,482,5596.0,512
745,1034,12800.0,1024
746,688,8388.0,1024
747,792,9784.0,512
748,916,11412.0,1024
749,823,10020.0,1024
750,437,5088.0,512
751,743,9116.0,1024
752,263,2876.0,256
753,332,3840.0,256
754,626,7632.0,512
755,498,5900.0,512
756,468,5524.0,512
757,378,4412.0,512
758,310,3580.0,256
759,399,4872.0,512
760,430,4992.0,512
761,216,2240.0,256
762,864,10584.0,1024
763,355,4112.0,256
764,269,3008.0,256
765,190,2052.0,256
766,608,7336.0,512
767,321,3548.0,256
768,157,1540.0,128
769,967,11812.0,1024
770,445,5332.0,512
771,412,4868.0,512
772,296,3312.0,256
773,464,5524.0,512
774,210,2200.0,128
775,497,5812.0,512
776,328,3812.0,256
777,341,3840.0,256
778,220,2276.0,256
779,971,12208.0,1024
780,287,3212.0,256
781,290,3224.0,256
782,232,2496.0,256
783,530,6352.0,512
784,150,1472.0,128
785,280,3064.0,256
786,767,9296.0,1024
787,542,6584.0,512
788,552,6624.0,512
789,576,7044.0,512
790,538,6504.0,512
791,384,4556.0,512
792,661,8124.0,512
793,646,7824.0,512
794,223,2300.0,256
795,293,3220.0,256
796,531,6308.0,512
797,541,6456.0,512
798,345,3976.0,256
799,261,2808.0,256
800,531,6480.0,256
801,709,8596.0,1024
802,342,3928.0,256
803,175,1780.0,128
804,175,1696.0,128
805,341,3832.0,256
806,595,7312.0,512
807,338,3868.0,256
808,273,3084.0,256
809,554,6596.0,512
810,660,8040.0,512
811,344,4060.0,256
812,585,6844.0,512
813,523,6188.0,512
814,169,1592.0,128
815,432,4980.0,512
816,346,4088.0,256
817,660,7956.0,512
818,366,4160.0,256
819,732,8840.0,1024
820,435,4992.0,512
821,258,2744.0,256
822,200,2096.0,256
823,517,6164.0,512
824,311,3564.0,256
825,162,1736.0,256
826,304,3352.0,256
827,618,7472.0,512
828,704,8536.0,1024
829,447,5260.0,256
830,491,5744.0,512
831,366,4136.0,512
832,621,7584.0,1024
833,491,5864.0,512
834,171,1676.0,128
835,501,5976.0,512
836,584,7012.0,512
837,415,4828.0,512
838,515,6160.0,512
839,701,8460.0,1024
840,441,5192.0,512
841,319,3600.0,256
842,208,2188.0,256
843,472,5492.0,512
844,865,10728.0,1024
845,297,3276.0,256
846,327,3808.0,256
847,329,3704.0,256
848,506,6012.0,512
849,397,4432.0,256
850,317,3636.0,512
851,556,6564.0,512
852,369,4144.0,256
853,686,8340.0,512
854,541,6456.0,512
855,285,3312.0,256
856,351,4088.0,256
857,179,1756.0,128
858,542,6532.0,512
859,252,2728.0,256
860,238,2648.0,256
861,438,5140.0,512
862,521,6180.0,512
863,500,5924.0,512
864,237,2608.0,256
865,524,6212.0,512
866,320,3620.0,256
867,628,7660.0,512
868,575,6932.0,512
869,515,6252.0,512
870,470,5464.0,512
871,211,2220.0,128
872,243,2540.0,256
873,535,6304.0,512
874,295,3264.0,256
875,552,6608.0,512
876,325,3556.0,256
877,516,6140.0,512
878,629,7664.0,512
879,349,3972.0,512
880,504,6004.0,512
881,355,4056.0,512
882,540,6576.0,512
883,608,7304.0,512
884,464,5460.0,512
885,533,6480.0,512
886,348,3976.0,256
887,537,6344.0,512
888,513,5936.0,512
889,441,5252.0,512
890,552,6520.0,512
891,240,2516.0,256
892,447,5264.0,512
893,725,8888.0,1024
894,432,5180.0,512
895,487,5712.0,512
896,692,8388.0,1024
897,733,8948.0,1024
898,553,6552.0,512
899,321,3676.0,512
900,357,4016.0,256
901,496,5900.0,512
902,321,3612.0,256
903,268,2836.0,256
904,679,8288.0,512
905,933,11420.0,1024
906,157,1428.0,128
907,214,2236.0,128
908,327,3656.0,256
909,188,1932.0,256
910,263,2944.0,256
911,597,7216.0,512
912,378,4396.0,512
913,458,5564.0,512
914,262,2920.0,256
915,702,8624.0,1024
916,528,6336.0,512
917,488,5856.0,512
918,587,7000.0,512
919,835,10276.0,1024
920,595,7196.0,512
921,586,6980.0,512
922,454,5464.0,512
923,121,956.0,64
924,570,6876.0,512
925,173,1728.0,128
926,958,11924.0,1024
927,533,6500.0,512
928,309,3372.0,256
929,455,5296.0,512
930,544,6440.0,512
931,343,3948.0,256
932,787,9552.0,1024
933,629,7656.0,512
934,434,5252.0,512
935,229,2424.0,256
936,670,8140.0,512
937,757,9188.0,1024
938,354,4136.0,512
939,768,9408.0,1024
940,270,2768.0,256
941,550,6688.0,512
942,469,5496.0,512
943,234,2608.0,256
944,330,3768.0,256
945,336,3816.0,256
946,228,2448.0,256
947,213,2132.0,128
948,667,8084.0,512
949,592,7080.0,512
950,434,5120.0,512
951,461,5592.0,512
952,460,5500.0,512
953,526,6352.0,512
954,569,6864.0,512
955,543,6612.0,512
956,436,5152.0,512
957,319,3648.0,256
958,624,7588.0,512
959,516,6160.0,512
960,555,6708.0,512
961,544,6544.0,512
962,469,5436.0,512
963,444,5200.0,512
964,558,6732.0,512
965,377,4516.0,256
966,430,5080.0,512
967,700,8468.0,1024
968,405,4648.0,256
969,246,2676.0,128
970,530,6220.0,512
971,156,1712.0,128
972,180,1884.0,256
973,389,4636.0,256
974,357,4024.0,256
975,449,5440.0,512
976,286,3212.0,256
977,430,4880.0,512
978,170,1684.0,128
979,334,3784.0,256
980,624,7440.0,1024
981,298,3324.0,256
982,518,6184.0,512
983,354,4048.0,256
984,571,6772.0,512
985,583,6960.0,512
986,563,6800.0,512
987,503,6032.0,512
988,808,9964.0,1024
989,235,2496.0,256
990,461,5344.0,512
991,618,7456.0,1024
992,523,6216.0,512
993,159,1624.0,128
994,414,4800.0,512
995,313,3620.0,256
996,472,5560.0,512
997,282,3264.0,512
998,460,5424.0,512
999,296,3440.0,256
